class,comment_sentence,labels,types
BlAnchorRelativeToElement,relative anchor takes an arbitrary element as a reference an compute its position based on properties of that element.,[0 0 1 0 0 0 0],original
BlArrowheadSimpleArrow,i am a simple arrow like arrowhead.,[0 0 0 0 1 0 0],original
BlArrowheadSimpleArrow,both my size and arrow length depend on the curve width.,[0 0 0 0 1 0 0],original
BlArrowheadSimpleArrow,it is possible hovewer to customize a length fraction how long should be the outer arrow compared to the length of the side of a nose triangle.,[0 0 0 0 0 1 0],original
BlArrowheadTriangle,i am a triangular arrow head.,[0 0 0 0 1 0 0],original
BlArrowheadTriangle,it is possible to have a border around triangle by specifying a border width of a triangle arrowhead.,[1 0 0 0 0 0 0],original
BlArrowheadTriangle,for solid arrowhead make background paint be the same as border paint.,[0 0 1 0 0 0 0],original
BlChicken,blchicken open,[0 1 0 0 0 0 0],original
BlChildrenCollection,i provide a data structure independent api for adding and removing children.,[0 0 1 0 0 0 0],original
BlChildrenCollection,i allow elements to optimize working with children for different scenarious.,[0 0 1 0 0 0 0],original
BlChildrenCollection,a linked list optimize for fast adding and removing.,[0 0 1 0 0 0 0],original
BlChildrenCollection,"a rope uses a balanced binary tree to support fast adding, removing and accessing, with the disadvantage of taking more memory.",[0 0 1 0 0 0 0],original
BlChildrenCollection,class blchildrenarray stores children using an class array,[0 0 0 1 0 0 0],original
BlChildrenCollection,class blchildrenlinkedlist stores children using a class linkedlist,[0 0 0 1 0 0 0],original
BlChildrenCollection,class blchildrenorderedcollection stores children using a class orderedcollection,[0 0 0 1 0 0 0],original
BlChildrenOrderedCollectionExamples,i define examples for the class class blchildrenorderedcollection .,[0 0 1 0 0 0 0],original
BlChildrenSubset,i capture a subset of children from a class blelement instance.,[0 0 1 0 0 0 0],original
BlChildrenSubset,i am an abstract class.,[0 0 0 0 1 0 0],original
BlChildrenSubset,i exist to explicitly capture and combine various ways of filtering and iterating over children.,[0 0 1 0 0 0 0],original
BlChildrenSubset,i do not enforce a lazy api.,[0 0 0 0 0 1 0],original
BlChildrenSubset,api,[0 0 0 0 0 1 0],original
BlChildrenSubset,instances of me are created by calling the factory method method blchildrensubset class #on on a subclass with an instance of class blchildren as parameter.,[0 0 0 0 0 1 0],original
BlChildrenSubset,implementation details,[1 0 0 0 0 0 0],original
BlChildrenSubset,this result is then used when accessing or iterating over elements.,[1 0 0 0 0 0 0],original
BlClickEvent,the click event is fired when a pointing device button a mouse s primary button is pressed and released on a single element.,[1 0 1 0 0 0 0],original
BlClickEvent,the order of fired events,[1 0 0 0 0 0 0],original
BlClickEvent,mouse up,[1 0 0 0 0 0 0],original
BlCompulsoryCombinationTest,this class contains tests,[0 0 1 0 0 0 0],original
BlDecelerateInterpolator,setting factor to 10f produces an upside down y x^2 parabola.,[1 0 0 0 0 0 0],original
BlDecelerateInterpolator,my formula is,[1 0 0 0 0 0 0],original
BlDecelerateInterpolator,"f x 1 1 x ^n, where n 2 factor",[1 0 0 0 0 0 0],original
BlDecelerateInterpolator,"i meant to be immutable, therefore factor can be only set using factory method #factor on my class side",[1 0 0 0 0 0 0],original
BlDevScripterCheckFiredEventsStep,i check whether particular class blevent events were fired on a class blelement target.,[0 0 1 0 0 0 0],original
BlDevScripterCheckFiredEventsStep,here you can see how to configure a fire and check a click event on a child element,[0 1 0 0 0 0 0],original
BlDevScripterClickStep,"i fire a class blmousedownevent , class blmouseupevent , and class blclickevent .",[0 0 1 1 0 0 0],original
BlDevScripterClickStep,here you can see how to configure a fire and check a click event on a child element,[0 1 0 0 0 0 0],original
BlDragDelegate,drag delegate provides drag items when a visual element lifts.,[0 0 1 0 0 0 0],original
BlDragDelegate,drag gesture fails if there are no drag items,[0 0 1 0 0 0 0],original
BlElementBoundsExamples,i contain examples of element bounds api,[0 0 1 0 0 0 0],original
BlElementDynamicTransformation,i am dynamic element transformation in the sense that my transformation matrix may actually depend on some element properties such as #extent or #position.,[0 0 1 0 1 0 0],original
BlElementDynamicTransformation,it means that matrix computation is performed only when requested taking owner element into account.,[1 0 0 0 0 0 0],original
BlElementEffect,i am the abstract root class for effects.,[0 0 0 0 1 0 0],original
BlElementEffect,i define the default drawing strategy before & after .,[0 0 1 0 0 0 0],original
BlElementEffect,i can influence the bounds of my owner used to clip my owner .,[0 0 1 0 0 0 0],original
BlElementPositionChangeTest,i contain examples of position change logging functionality,[0 0 1 0 0 0 0],original
BlElementRemovedEvent,is sent by an element after it is removed from the parent.,[0 0 0 0 0 0 1],original
BlElementRemovedEvent,child parent,[0 1 0 0 0 0 0],original
BlElementRemovedEvent,child blelement new.,[0 1 0 0 0 0 0],original
BlElementRemovedEvent,child when blelementremovedevent do self inform removed from parent .,[0 1 0 0 0 0 0],original
BlElementRemovedEvent,parent blelement new.,[0 1 0 0 0 0 0],original
BlElementRemovedEvent,parent addchild child.,[0 1 0 0 0 0 0],original
BlElementRemovedEvent,parent removechild child,[0 1 0 0 0 0 0],original
BlElementSelectionAcquiredEvent,is sent when element gets inside of mouse selection rectangle or when the overlapping rectangle formed by element s bounds and selection rectangle changes.,[0 0 0 0 0 0 1],original
BlExampleCustomEventTarget,i am an example of a custom non element event target that can be nicely integrated in bloc infrastructure,[0 0 1 0 1 0 0],original
BlExampleElementWithBrokenOnLayout,i am an element with a broken onlayout method that throws error subscriptoutofbounds,[0 0 1 0 1 0 0],original
BlExperimentalExamples,i contain experimental examples that only work in manually prepared laboratory environments.,[0 0 1 0 0 0 0],original
BlFocusExamples,how to,[0 1 0 0 0 0 0],original
