class,comment_sentence,labels,types
AccessMixin,functionality.,[0 0 0 0 1],original
Atomic,"when it s used as a decorator, call wraps the execution of the",[1 0 0 0 0],original
Atomic,"when it s used as a context manager, enter creates a transaction or a",[1 0 0 0 0],original
Atomic,"exit commits the transaction or releases the savepoint on normal exit,",[1 0 0 0 0],original
Atomic,it s possible to disable the creation of savepoints if the goal is to,[1 0 0 0 0],original
Atomic,a stack of savepoints identifiers is maintained as an attribute of the,[1 0 0 0 0],original
Atomic,none denotes the absence of a savepoint.,[1 0 0 0 0],original
AtomicTests,"implementation , there are only a few basic tests with the decorator",[0 0 0 1 0],original
AutoFieldMeta,it is intended that autofieldmixin become public api when it is possible to,[0 0 0 1 0],original
AutoFieldMeta,stored in the database.,[0 0 0 1 0],original
AutoFieldMeta,automatically generated field as a subclass of autofield.,[1 0 0 0 0],original
AutoFieldMeta,to be implemented on field to be used instead.,[1 0 0 0 0],original
AutoFieldMeta,"when these issues have been addressed, this metaclass could be used to",[0 0 1 0 0],original
AutoFieldMeta,for detecting automatically generated fields.,[0 0 1 0 0],original
BarAccount,a service specific account of type bar.,[0 0 0 0 1],original
BaseCommand,the base class from which all management commands ultimately,[0 0 0 0 1],original
BaseCommand,derive.,[0 0 0 0 1],original
BaseCommand,use this class if you want access to all of the mechanisms which,[0 0 1 0 0],original
BaseCommand,parse the command line arguments and work out what code to call in,[0 0 1 0 0],original
BaseCommand,"response if you don t need to change any of that behavior,",[0 0 1 0 0],original
BaseCommand,consider using one of the subclasses defined in this file.,[0 0 1 0 0],original
BaseCommand,"the command parsing and execution behavior, the normal flow works",[1 0 0 0 0],original
BaseCommand,django admin or manage^py loads the command class,[1 0 0 0 0],original
BaseCommand,and calls its run from argv method.,[1 0 0 0 0],original
BaseCommand,the run from argv method calls create parser to get,[1 0 0 0 0],original
BaseCommand,"an argumentparser for the arguments, parses them, performs",[1 0 0 0 0],original
BaseCommand,any environment changes requested by options like,[1 0 0 0 0],original
BaseCommand,"pythonpath , and then calls the execute method,",[1 0 0 0 0],original
BaseCommand,passing the parsed arguments.,[1 0 0 0 0],original
BaseCommand,3,[1 0 0 0 0],original
BaseCommand,the execute method attempts to carry out the command by,[1 0 0 0 0],original
BaseCommand,calling the handle method with the parsed arguments any,[1 0 0 0 0],original
BaseCommand,output produced by handle will be printed to standard,[1 0 0 0 0],original
BaseCommand,"output and, if the command is intended to produce a block of",[1 0 0 0 0],original
